sample,gen1000_avg_utility,gen5000_avg_utility
0,38.558800,37.966800
1,37.161700,37.531400
2,38.589500,37.459900
3,37.467300,37.673800
4,37.831200,37.799200
5,37.912800,38.259300
6,37.487700,37.703800
7,37.487500,37.855800
8,37.789700,37.465100
9,38.200300,37.489900
10,38.504900,38.020600
11,37.986200,38.054600
12,36.865500,37.033000
13,37.770800,37.334800
14,37.629800,38.125500
15,38.231300,38.023600
16,38.455600,38.124800
17,38.393800,37.739300
18,38.303900,37.742000
19,37.201600,37.850500
20,37.431300,37.711900
21,37.498000,37.529500
22,37.532400,37.711300
23,37.362300,37.503500
24,37.379300,37.890800
25,37.666700,38.044200
26,37.230100,37.487400
27,37.385500,37.117500
28,37.955500,36.875200
29,37.853200,37.981900
30,38.355500,38.279000
31,37.581600,37.731500
32,36.997500,37.581000
33,37.531100,37.735400
34,38.031200,37.967200
35,37.386500,38.018000
36,37.916200,37.103400
37,38.706400,37.729900
38,37.698000,38.127900
39,37.497800,37.635700
40,37.607900,37.682100
41,37.049800,37.400100
42,38.678300,37.304900
43,37.916900,38.570900
44,37.406700,38.180300
45,37.454400,38.195000
46,37.190700,36.830100
47,37.407800,38.304700
48,37.613100,38.286200
49,37.672200,38.059100
50,37.853700,37.895900
51,38.058200,37.965900
52,37.804800,38.544300
53,37.644700,37.960400
54,37.743900,36.865300
55,38.050100,37.221000
56,37.649700,37.869700
57,38.572900,37.883700
58,37.339100,37.902500
59,37.857600,37.869400
60,37.538500,38.198100
61,37.348300,37.374900
62,37.638200,38.527900
63,37.960100,37.919400
64,37.915700,38.237500
65,37.691700,37.529700
66,37.764500,37.681500
67,37.829700,37.968100
68,37.666100,37.946100
69,37.666600,37.481200
70,37.559600,38.003800
71,38.262900,37.562200
72,38.072400,37.427400
73,37.837700,38.054500
74,37.595900,37.634000
75,37.664900,37.961200
76,37.205800,37.585800
77,37.634300,37.338200
78,37.159400,37.627600
79,37.683400,37.489500
80,38.147700,37.864800
81,38.064500,38.574600
82,37.251900,38.147100
83,38.296800,37.944000
84,37.332600,38.042300
85,38.394300,37.874600
86,37.658700,37.967000
87,37.829300,37.673300
88,37.543900,38.111700
89,37.854600,38.008400
90,37.877100,37.385100
91,37.137900,37.903600
92,38.094400,37.499100
93,37.715000,38.010800
94,37.474800,38.272800
95,37.021800,37.672600
96,37.423500,38.710700
97,37.717600,38.036900
98,37.200900,38.015400
99,37.807400,37.815800
100,38.213200,38.010700
101,38.387800,38.291500
102,37.965200,37.775700
103,36.728600,37.953700
104,37.984500,37.371900
105,37.693200,37.463800
106,37.794000,37.756300
107,37.568400,38.251700
108,38.113400,38.188900
109,37.999200,37.706200
110,37.425800,37.801700
111,36.813400,38.191000
112,38.012200,37.448300
113,37.426200,38.156800
114,38.018700,38.157500
115,37.736600,37.633200
116,37.734000,38.076300
117,37.942500,37.628500
118,37.756600,37.792800
119,37.426200,37.742000
120,37.600700,37.681800
121,37.631900,38.063200
122,37.540900,38.093000
123,37.670400,37.709800
124,37.917300,37.553500
125,38.014000,37.927900
126,38.008400,37.547400
127,37.996700,37.373600
128,37.795200,37.476100
129,37.490800,37.571200
130,38.022700,38.694900
131,37.442700,37.520400
132,37.396900,37.775100
133,38.284600,37.763400
134,37.165900,38.195300
135,37.320000,38.150900
136,37.238900,36.985600
137,37.308000,37.837900
138,37.651100,37.671800
139,37.599500,37.857000
140,37.382500,37.631200
141,37.829800,37.966200
142,37.832000,38.042500
143,37.570300,36.786100
144,37.803200,37.964100
145,37.550200,37.170600
146,36.482300,37.731400
147,36.920000,37.826200
148,37.423000,37.524700
149,37.714900,37.930300
150,37.190900,37.945300
151,37.290900,37.678000
152,37.886700,38.140100
153,37.527600,37.535800
154,37.537800,37.705500
155,38.096500,37.762800
156,37.975000,37.894200
157,37.687000,37.273500
158,37.668300,37.886800
159,38.201300,38.047800
160,36.984200,37.683700
161,37.376300,38.034800
162,37.743200,38.284600
163,37.657900,37.441900
164,37.534700,37.978800
165,36.922300,37.648600
166,37.288900,37.748100
167,38.204600,38.072000
168,37.709800,38.035300
169,38.229400,37.978600
170,38.273000,37.575300
171,38.152900,37.672900
172,37.854400,37.503700
173,37.382000,38.158400
174,38.121100,37.701300
175,37.527500,37.577300
176,38.307300,38.153500
177,37.625700,38.379400
178,37.885400,37.172600
179,36.889400,38.020100
180,37.432000,37.686800
181,37.924000,38.324800
182,37.297100,37.207600
183,38.061800,37.739600
184,37.861300,37.722500
185,38.215300,37.763900
186,37.808500,38.036700
187,37.700400,38.027500
188,37.641800,38.381900
189,38.045500,37.816800
190,37.905600,37.075400
191,37.863000,37.960700
192,37.751000,37.476500
193,37.205400,37.773000
194,37.216600,37.437700
195,38.199000,37.868100
196,37.634800,38.833600
197,37.666500,37.839500
198,37.491800,36.863300
199,38.109900,37.362900
200,37.969000,37.839000
201,38.828800,37.591500
202,37.554700,37.921400
203,36.886300,38.000500
204,37.973500,37.544800
205,37.453300,37.802100
206,37.715000,37.591800
207,37.822500,37.896900
208,37.356400,37.670500
209,37.525100,38.036800
210,37.205100,38.222400
211,37.228900,37.782200
212,38.663500,37.948600
213,37.251300,38.148500
214,38.230800,38.404500
215,38.104400,37.628600
216,37.422500,37.606700
217,37.100900,37.926000
218,38.283000,37.246900
219,37.683200,37.825200
220,37.601500,37.699000
221,37.651600,37.219200
222,37.635200,37.539100
223,38.420300,37.981600
224,37.373400,37.643700
225,37.716700,37.565900
226,38.194900,38.211100
227,37.539100,37.879100
228,37.888000,37.239400
229,37.826200,37.559800
230,37.158300,37.729300
231,37.767900,37.148400
232,38.272100,38.354200
233,36.629400,37.359200
234,38.179700,37.671600
235,37.442100,37.809900
236,37.460000,38.084700
237,38.045700,37.450800
238,38.228500,37.416500
239,37.603400,37.387300
240,36.969400,37.997400
241,37.536200,37.445800
242,37.744500,37.887100
243,37.419300,38.339200
244,37.830900,37.917700
245,38.589500,37.506000
246,38.328900,37.331800
247,38.183300,37.074000
248,37.943400,37.633400
249,37.485700,38.110600
250,37.685000,38.586000
251,37.930400,37.929100
252,37.777900,38.058100
253,37.967600,38.244700
254,37.963800,37.699000
255,37.453700,37.509100
256,37.066000,37.635200
257,37.547200,37.494000
258,38.027500,37.981200
259,37.793600,38.187100
260,37.572700,37.629900
261,37.572800,37.819600
262,37.854400,37.143000
263,37.248900,37.846300
264,38.268600,37.482700
265,37.566900,38.187500
266,37.708200,37.875600
267,38.084500,38.293200
268,37.781300,37.550300
269,37.042400,38.509200
270,38.056700,37.674900
271,37.357900,38.027900
272,37.312900,37.314700
273,37.844900,36.492100
274,37.897200,37.555900
275,37.172200,38.192500
276,37.683900,37.468400
277,37.028300,37.877900
278,37.662600,38.108000
279,37.359300,37.555800
280,37.101400,37.936700
281,37.573900,37.214300
282,38.159000,38.104700
283,37.379900,37.766100
284,38.030800,37.904200
285,37.440300,38.423700
286,37.748700,37.853300
287,38.079600,37.420100
288,37.465900,38.106300
289,37.517500,37.942600
290,37.437300,37.133100
291,37.775200,38.148400
292,37.837000,37.889300
293,37.216200,37.610500
294,37.668500,37.542400
295,38.185100,37.813600
296,37.221100,37.516700
297,38.071300,38.190600
298,37.722500,37.627400
299,37.767400,37.245100
